SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
616040,616040,Stream Gauging,Stream Gauging,AWRC,Susannah Brook - Gilmours Farm,Gilmours Farm,16430 [WIN_ID]; 616040 [SITE_REF],,50,416089.00,6479549.00,-31.816610970,116.113410210,GDA94
616042,616042,Stream Gauging,Stream Gauging,AWRC,Yule Brook - Brixton Road (SWS3),Brixton Road (SWS3),16432 [WIN_ID]; 616042 [SITE_REF]; SWS3 [TEXT_REF],SWS3,50,402466.00,6456282.00,-32.025406176,115.967145994,GDA94
616043,616043,Stream Gauging,Stream Gauging,AWRC,Mills St Main - Palm Place (SWS1),Palm Place (SWS1),16433 [WIN_ID]; 616043 [SITE_REF]; SWS1 [TEXT_REF],SWS1,50,397944.00,6457220.00,-32.016546246,115.919365919,GDA94
616044,616044,Stream Gauging,Stream Gauging,AWRC,Neerigen Brook - Abbey Rd,Abbey Rd,16434 [WIN_ID]; 616044 [SITE_REF],,50,406723.00,6442494.00,-32.150137755,116.010881416,GDA94
616045,616045,Stream Gauging,Stream Gauging,AWRC,Mt Lawley Main Drain - Mt Lawley,Mt Lawley,16435 [WIN_ID]; 616045 [SITE_REF],,50,394037.00,6465765.00,-31.939110218,115.878940293,GDA94
616046,616046,Stream Gauging,Stream Gauging,AWRC,Woodlupine Brook - Hartfield Park,Hartfield Park,16436 [WIN_ID]; 616046 [SITE_REF],,50,404407.00,6459390.00,-31.997536545,115.988005937,GDA94
616047,616047,Stream Gauging,Stream Gauging,AWRC,Bickley Brook - Austin Ave (SWS4),Austin Ave (SWS4),16437 [WIN_ID]; 616047 [SITE_REF]; SWS4 [TEXT_REF],SWS4,50,403329.00,6454317.00,-32.043205200,115.976086392,GDA94
616052,616052,Stream Gauging,Stream Gauging,AWRC,Stoneville Research Stn - Stn,Stn,16440 [WIN_ID]; 616052 [SITE_REF],,50,422589.00,6475599.00,-31.852704300,116.181768090,GDA94
616053,616053,Stream Gauging,Stream Gauging,AWRC,Jane Brook Trib - Walker Street,Walker Street,16441 [WIN_ID]; 616053 [SITE_REF],,50,421349.00,6470509.00,-31.898536620,116.168249580,GDA94
616054,616054,Stream Gauging,Stream Gauging,AWRC,Piesse Gully - Patterson Rd,Patterson Rd,616054 [SITE_REF]; 8126023 [WIN_ID],,50,418169.00,6456689.00,-32.022980840,116.133453620,GDA94
616056,616056,Stream Gauging,Stream Gauging,AWRC,Light St Branch Drain - Walter Rd,Walter Rd,616056 [SITE_REF]; 9100192 [WIN_ID],,50,395272.00,6470442.00,-31.897037230,115.892509950,GDA94
616062,616062,Stream Gauging,Stream Gauging,AWRC,Central Belmont M.D. - Parry Field,Parry Field,11202342 [WIN_ID]; 616062 [SITE_REF],,50,397854.00,6465379.00,-31.942942300,115.919276350,GDA94
616066,616066,Stream Gauging,Stream Gauging,AWRC,Kangaroo Gully - Diversion Channel,Diversion Channel,16446 [WIN_ID]; 616066 [SITE_REF],,50,418854.00,6443514.00,-32.141876750,116.139594190,GDA94
616069,616069,Stream Gauging,Stream Gauging,AWRC,Churchman Brook - Churchman Res Rd012,Churchman Res Rd012,16449 [WIN_ID]; 616069 [SITE_REF],,50,413039.00,6442549.00,-32.150149020,116.077854610,GDA94
616071,616071,Stream Gauging,Stream Gauging,AWRC,Wungong Brook - Pipehead Dam,Pipehead Dam,16451 [WIN_ID]; 616071 [SITE_REF],,50,411172.00,6437511.00,-32.195447660,116.057590800,GDA94
616073,616073,Stream Gauging,Stream Gauging,AWRC,Summer Lakes - Emu Lake (North),Emu Lake (North),10976085 [WIN_ID]; 616073 [SITE_REF],,50,394339.00,6476749.00,-31.840059540,115.883331480,GDA94
616076,616076,Stream Gauging,Stream Gauging,AWRC,Swan River - Gt Northern Highway,Gt Northern Highway,12983252 [WIN_ID]; 616076 [SITE_REF]; SWN5 [TEXT_REF],SWN5,50,407488.00,6483347.00,-31.781684749,116.022903611,GDA94
616077,616077,Stream Gauging,Stream Gauging,AWRC,Henley Brook - John Street,John Street,11972560 [WIN_ID]; 616077 [SITE_REF],,50,405164.00,6481454.00,-31.798569860,115.998177940,GDA94
616082,616082,Stream Gauging,Stream Gauging,AWRC,Bayswater Main Drain - Slade Street,Slade Street,12476854 [WIN_ID]; 616082 [SITE_REF]; SWB4 [TEXT2]; SWS10 [TEXT_REF],SWS10,50,398086.00,6467454.00,-31.924245788,115.921948817,GDA94
616084,616084,Stream Gauging,Stream Gauging,AWRC,Bennett Brook Main Drain - Benara Rd (D/Stream),Benara Rd (D/Stream),22001307 [WIN_ID]; 616084 [SITE_REF]; SWN12 [TEXT_REF],SWN12,50,401589.00,6472648.00,-31.877702540,115.959525640,GDA94
616086,616086,Stream Gauging,Stream Gauging,AWRC,Helena River - Whiteman Rd,Whiteman Rd,12863074 [WIN_ID]; 616086 [SITE_REF]; HR01 [TEXT2]; SWN10 [TEXT_REF],SWN10,50,406160.00,6470210.00,-31.900081093,116.007611462,GDA94
616087,616087,Stream Gauging,Stream Gauging,AWRC,Sth Belmont Main Drain - Abernethy Rd,Abernethy Rd,12883457 [WIN_ID]; 616087 [SITE_REF]; SWS11 [TEXT_REF],SWS11,50,397864.00,6464787.00,-31.948282960,115.919319380,GDA94
616088,616088,Stream Gauging,Stream Gauging,AWRC,Jane Brook - GtNthn Hwy Rd Bridge,GtNthn Hwy Rd Bridge,13819 [WIN_ID]; 616088 [SITE_REF]; AS02-JB [TEXT2]; SWN7 [TEXT_REF],SWN7,50,406725.00,6474359.00,-31.862700964,116.013984561,GDA94
616089,616089,Stream Gauging,Stream Gauging,AWRC,Susannah Brook - Roland Road,Roland Road,12883372 [WIN_ID]; 616089 [SITE_REF]; SWS9 [TEXT_REF],SWS9,50,417589.00,6479049.00,-31.821230720,116.129215480,GDA94
616091,616091,Stream Gauging,Stream Gauging,AWRC,Bannister Creek - Hybanthus Rd (SWS2),Hybanthus Rd (SWS2),12883479 [WIN_ID]; 616091 [SITE_REF]; SWS2 [TEXT_REF],SWS2,50,397775.00,6454806.00,-32.038305650,115.917320570,GDA94
616092,616092,Stream Gauging,Stream Gauging,AWRC,Southern River - Anaconda Drive,Anaconda Drive,13802403 [WIN_ID]; 616092 [SITE_REF]; SWS7 [TEXT_REF],SWS7,50,403622.00,6450423.00,-32.078355232,115.978799149,GDA94
616093,616093,Stream Gauging,Stream Gauging,AWRC,Canning River Kent Street Weir - Weir U/S,Weir U/S,13879613 [WIN_ID]; 616093 [SITE_REF],,50,398116.00,6456685.00,-32.021387540,115.921130330,GDA94
616094,616094,Stream Gauging,Stream Gauging,AWRC,Canning River Kent Street Weir - Weir D/S,Weir D/S,13879616 [WIN_ID]; 616094 [SITE_REF]; SW31 HIST [TEXT_HIST],,50,398025.00,6456716.00,-32.021099720,115.920170140,GDA94
616099,616099,Stream Gauging,Stream Gauging,AWRC,Susannah Brook - River Rd,River Rd,13861181 [WIN_ID]; 616099 [SITE_REF]; AS03 [TEXT2]; SWN11 [TEXT_REF],SWN11,50,406686.00,6479346.00,-31.817711536,116.014050910,GDA94
616107,616107,Stream Gauging,Stream Gauging,AWRC,Canning River - Stocker Rd,Stocker Rd,15379178 [WIN_ID]; 616107 [SITE_REF]; ROAD HILL2 [TEXT_REF],ROAD HILL2,50,410705.00,6444961.00,-32.128207439,116.053331818,GDA94
616108,616108,Stream Gauging,Stream Gauging,AWRC,Canning River - Bernard Street,Bernard Street,15379186 [WIN_ID]; 616108 [SITE_REF]; STREET BER3 [TEXT_REF],STREET BER3,50,408679.00,6445466.00,-32.123489746,116.031903719,GDA94
616109,616109,Stream Gauging,Stream Gauging,AWRC,Canning River - Heritage Drive,Heritage Drive,15379191 [WIN_ID]; 616109 [SITE_REF],,50,413939.00,6445499.00,-32.123607510,116.087662470,GDA94
616110,616110,Stream Gauging,Stream Gauging,AWRC,Canning River - Orlando Street,Orlando Street,15379196 [WIN_ID]; 616110 [SITE_REF]; STREET ORL4 [TEXT_REF],STREET ORL4,50,407831.00,6445765.00,-32.120723618,116.022943905,GDA94
616116,616116,Stream Gauging,Stream Gauging,AWRC,Canning River - Soldiers Rd,Soldiers Rd,23019042 [WIN_ID]; 616116 [SITE_REF],,50,411804.00,6445042.00,-32.127563365,116.064989070,GDA94
616117,616117,Stream Gauging,Stream Gauging,AWRC,Canning River - Manning Street,Manning Street,23019043 [WIN_ID]; 616117 [SITE_REF],,50,407077.00,6449798.00,-32.084282699,116.015342433,GDA94
616118,616118,Stream Gauging,Stream Gauging,AWRC,Wungong Brook - Scarp,Scarp,23019041 [WIN_ID]; 616118 [SITE_REF],,50,410000.00,6436758.00,-32.202145037,116.045087011,GDA94
616119,616119,Stream Gauging,Stream Gauging,AWRC,Canning River - Pioneer Park,Pioneer Park,23019050 [WIN_ID]; 616119 [SITE_REF],,50,405872.00,6451364.00,-32.070056984,116.002728693,GDA94
616123,616123,Stream Gauging,Stream Gauging,AWRC,Liege Street Wetlands - Liege Street Outflow,Liege Street Outflow,23019738 [WIN_ID]; 616123 [SITE_REF],,50,399377.00,6456594.00,-32.022321261,115.934471819,GDA94
616131,616131,Stream Gauging,Stream Gauging,AWRC,Wharf St Wetlands - Lake 3 Outflow,Lake 3 Outflow,23023148 [WIN_ID]; 616131 [SITE_REF]; WHL3 [TEXT_REF],WHL3,50,398873.00,6457025.00,-32.018388610,115.929180830,GDA94
616133,616133,Stream Gauging,Stream Gauging,AWRC,South Belmont Main Drain - Cleaver Terrace,Cleaver Terrace,23023153 [WIN_ID]; 616133 [SITE_REF],,50,397886.00,6464422.00,-31.951577347,115.919513586,GDA94
616135,616135,Stream Gauging,Stream Gauging,AWRC,Wharf Street Wetland - Wharf Street Outlet,Wharf Street Outlet,23033313 [WIN_ID]; 616135 [SITE_REF],,50,398596.00,6456840.00,-32.020032550,115.926228690,GDA94
616137,616137,Stream Gauging,Stream Gauging,AWRC,Wharf Street Wetland - Wharf Street Inlet,Wharf Street Inlet,23034159 [WIN_ID]; 616137 [SITE_REF]; WDRAIN [TEXT_REF],WDRAIN,50,398938.00,6457015.00,-32.018484620,115.929867950,GDA94
616140,616140,Stream Gauging,Stream Gauging,AWRC,Balannup Drain - Skeet Rd,Skeet Rd,23042022 [WIN_ID]; 616140 [SITE_REF],,50,400431.88,6445609.14,-32.121500000,115.944502800,GDA94
616153,616153,Stream Gauging,Stream Gauging,AWRC,Wungong Brook - Kargotich,Kargotich,16453 [WIN_ID]; 616153 [SITE_REF],,50,408549.00,6437109.00,-32.198863370,116.029726880,GDA94
616157,616157,Stream Gauging,Stream Gauging,AWRC,Piesse Gully - Unnamed,Unnamed,16454 [WIN_ID]; 616157 [SITE_REF],,50,413537.00,6461181.00,-31.982115130,116.084810760,GDA94
616168,616168,Stream Gauging,Stream Gauging,AWRC,Helena River - Unnamed,Unnamed,16456 [WIN_ID]; 616168 [SITE_REF],,50,412474.00,6465760.00,-31.940727650,116.073975020,GDA94
616178,616178,Stream Gauging,Stream Gauging,AWRC,Jane Brook - National Park,National Park,16458 [WIN_ID]; 616178 [SITE_REF]; SWS8 [TEXT_REF],SWS8,50,414389.00,6472069.00,-31.883961190,116.094790990,GDA94
616189,616189,Stream Gauging,Stream Gauging,AWRC,Ellen Brook - Railway Parade,Railway Parade,16460 [WIN_ID]; 616189 [SITE_REF]; SWN3 [TEXT_REF],SWN3,50,407640.00,6486742.00,-31.751071324,116.024830094,GDA94
616232,616232,Stream Gauging,Stream Gauging,AWRC,Bickley Brook - Kumbaduru,Kumbaduru,16463 [WIN_ID]; 616232 [SITE_REF],,50,409839.00,6455799.00,-32.030375700,116.045169400,GDA94
617165,617165,Stream Gauging,Stream Gauging,AWRC,Lennard Brook - Molecap Hill,Molecap Hill,12947370 [WIN_ID]; 617165 [SITE_REF]; G65 [TEXT_REF],G65,50,396905.00,6528004.00,-31.377934010,115.915818480,GDA94
