Site Code,Site,AED Site,Year,mm,dd,area,num_cells,num_outputs,age_surface,age_bottom,salinity_surface,salinity_ bottom,temp_surface,temp_bottom,oxygen_surface,oxygen_bottom,nh4_surface,nh4_bottom,CHLA,sal_strat,sal_strat_area,lowoxygen_area,hypoxia_area,temp_surface_avg,temp_surface_max,sal_strat_history,lowoxygen_frequency,hypoxia_frequency,anoxia_frequency,cyano_hab_index_avg,dino_hab_index_avg,mag_hsi_avg,wqi_avg
VealeMC2W22008_21m_767,MC2,Mandurah Channel,2008,07,11,11380.1270,3.0000,,39.4443,38.7016,32.1771,32.3089,12.7747,12.7265,8.5131,8.4822,0.0154,0.0149,2.7988,0.1318,0.0000,0.0000,0.0000,12.7370,14.7303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0604,0.0000,0.9767,
VealeMC2SP22008_21m_786,MC2,Mandurah Channel,2008,10,14,11380.1270,3.0000,,38.3495,38.3763,29.4614,29.9168,16.9006,16.6425,7.8535,7.8027,0.0086,0.0077,1.4595,0.4554,0.0000,0.0000,0.0000,16.0087,20.5440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,0.9987,
VealeMC2SU22009_21m_806,MC2,Mandurah Channel,2009,01,14,11380.1270,3.0000,,19.6232,19.6613,37.9722,37.9754,22.1980,22.2103,6.4375,6.4363,0.0140,0.0140,2.2731,0.0032,0.0000,0.0000,0.0000,22.4164,26.8943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.9928,
VealeMC2AU22009_21m_826,MC2,Mandurah Channel,2009,04,07,11380.1270,3.0000,,18.7565,18.6414,35.6546,35.6763,18.0772,17.7055,6.6937,6.6542,0.0025,0.0024,1.9983,0.0217,0.0000,0.0000,0.0000,18.8595,22.6211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,-0.0000,0.8365,
VealeMC2W22009_21m_846,MC2,Mandurah Channel,2009,07,09,11380.1270,3.0000,,33.0661,33.0705,28.9348,28.9689,12.4826,12.4940,8.5841,8.5782,0.0056,0.0056,0.4587,0.0362,0.0000,0.0000,0.0000,12.6902,15.4207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0253,0.0000,1.0000,
VealeMC2SP22009_21m_866,MC2,Mandurah Channel,2009,10,12,11380.1270,3.0000,,36.5681,35.6475,21.2702,21.7794,17.5760,17.5762,7.9212,7.9008,0.0028,0.0028,0.5687,0.2737,0.0000,0.0000,0.0000,15.1978,21.8103,2.5011,0.0000,0.0000,0.0000,0.0370,0.0517,0.0000,0.9344,
VealeMC2SU22010_21m_886,MC2,Mandurah Channel,2010,01,15,11380.1270,3.0000,,26.7051,26.7184,38.7419,38.7417,24.1131,24.0917,6.3065,6.3035,0.0567,0.0567,4.2810,0.0190,0.0000,0.0000,0.0000,22.6020,27.6369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.9762,
VealeMC2AU22010_21m_906,MC2,Mandurah Channel,2010,04,15,11380.1270,3.0000,,17.6728,17.7156,36.3823,36.3863,19.2293,19.2446,7.2301,7.2310,0.0067,0.0066,2.4047,0.0211,0.0000,0.0000,0.0000,21.0086,24.3890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,-0.0000,0.6509,
HallettMC2AU-16_21m_1484,MC2,Mandurah Channel,2016,06,01,11380.1270,3.0000,,31.8535,31.8519,33.6308,33.6319,14.5328,14.5135,6.8561,6.8562,0.0030,0.0030,0.5102,0.0012,0.0000,0.0000,0.0000,16.0530,19.2948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,0.0000,0.9748,
HallettMC2SP-16_21m_1485,MC2,Mandurah Channel,2016,10,31,11380.1270,3.0000,,43.8086,43.8013,30.5569,30.5569,18.1538,18.1495,8.4132,8.4118,0.0139,0.0140,9.5768,0.0000,0.0000,0.0000,0.0000,18.0398,21.7092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0968,0.0000,0.9472,
HallettMC2SU-17_21m_1486,MC2,Mandurah Channel,2017,02,15,11380.1267,3.0000,,32.7397,32.7560,31.7138,31.7357,25.2867,25.2427,6.7722,6.7552,0.1126,0.1127,28.9923,0.0219,0.0000,0.0000,0.0000,26.5503,32.3940,0.0000,1.8337,0.0000,0.0000,0.0000,0.0133,-0.0000,0.7608,
HallettMC2W-16_21m_1487,MC2,Mandurah Channel,2016,07,27,11380.1270,3.0000,,47.6358,47.6345,29.5105,29.5108,11.9973,11.9937,7.9793,7.9792,0.0105,0.0105,0.4448,0.0003,0.0000,0.0000,0.0000,12.1435,14.4124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0505,0.0000,0.9974,
HallettMC2AU17_21m_1609,MC2,Mandurah Channel,2017,04,13,11380.1267,3.0000,,39.6462,39.7428,36.6298,36.6302,21.0760,21.0305,6.8193,6.8158,0.0694,0.0697,28.4849,0.0004,0.0000,0.0000,0.0000,22.5350,26.5687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0288,-0.0000,0.5291,
HallettMC2SP17_21m_1613,MC2,Mandurah Channel,2017,10,19,11380.1267,3.0000,,40.3304,40.3097,24.1293,24.1346,19.1082,19.1197,9.5108,9.5091,0.0220,0.0221,27.2739,0.0054,0.0000,0.0000,0.0000,16.6422,21.8797,1.1669,0.0000,0.0000,0.0000,0.0208,0.1477,-0.0000,0.6909,
HallettMC2SU18_21m_1617,MC2,Mandurah Channel,2018,01,11,11380.1270,3.0000,,25.0756,25.0823,37.1628,37.1626,26.2903,26.2900,7.4484,7.4454,0.0386,0.0387,8.3087,0.0495,0.0000,0.0000,0.0000,24.8521,28.9585,0.0000,0.5002,0.0000,0.0000,0.0000,0.0063,0.0000,0.8503,
HallettMC2W17_21m_1621,MC2,Mandurah Channel,2017,06,26,11380.1267,3.0000,,47.3950,47.3908,34.6439,34.6468,13.9181,13.8009,6.6407,6.6312,0.0442,0.0443,4.1254,0.0029,0.0000,0.0000,0.0000,14.0568,17.1130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0409,0.0000,0.8394,
VealeMC4SU-9_102.5m_125,MC3,Mandurah Channel,2009,01,14,26268.4375,5.0000,,22.6048,22.6793,38.3297,38.3375,22.2733,22.2915,6.4047,6.4028,0.0142,0.0142,2.8923,0.0078,0.0000,0.0000,0.0000,22.4170,26.9992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.9855,
VealeMC4AU-9_102.5m_145,MC3,Mandurah Channel,2009,04,07,26268.4375,5.0000,,18.9898,18.8575,35.6040,35.6274,17.9977,17.6959,6.6632,6.6279,0.0026,0.0025,2.0015,0.0234,0.0000,0.0000,0.0000,18.8165,22.6151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,-0.0000,0.8351,
VealeMC4SP-8_102.5m_180,MC3,Mandurah Channel,2008,10,14,26268.4375,5.0000,,38.4132,38.3462,29.4782,29.8236,16.8449,16.6272,7.8470,7.8092,0.0084,0.0077,1.4578,0.3454,0.0000,0.0000,0.0000,16.0306,20.4926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0823,0.0000,0.9982,
VealeMC4SU-10_102.5m_200,MC3,Mandurah Channel,2010,01,15,26268.4375,5.0000,,28.0702,28.0953,38.9262,38.9274,24.1552,24.1319,6.3663,6.3657,0.0574,0.0574,4.7538,0.0197,0.0000,0.0000,0.0000,22.6197,28.4880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.9712,
VealeMC4AU-10_102.5m_220,MC3,Mandurah Channel,2010,04,15,26268.4375,5.0000,,17.4128,17.4580,36.3623,36.3663,19.2601,19.2752,7.2336,7.2340,0.0062,0.0062,2.4903,0.0212,0.0000,0.0000,0.0000,20.9996,24.3777,0.0000,0.3335,0.0000,0.0000,0.0000,0.0010,-0.0000,0.6218,
VealeMC4W-9_102.5m_240,MC3,Mandurah Channel,2009,07,09,26268.4375,5.0000,,33.1308,33.2059,28.7038,28.7793,12.4686,12.4842,8.6004,8.5951,0.0058,0.0058,0.4644,0.0569,0.0000,0.0000,0.0000,12.6597,15.5243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0252,0.0000,1.0000,
VealeMC4SP-9_102.5m_260,MC3,Mandurah Channel,2009,10,12,26268.4375,5.0000,,36.5335,35.9151,20.9372,21.2826,17.4432,17.4626,7.9249,7.9090,0.0028,0.0028,0.6326,0.1919,0.0000,0.0000,0.0000,15.2051,21.9126,1.0004,0.0000,0.0000,0.0000,0.0370,0.0493,0.0000,0.9310,
VealeMC4SP42008_21m_788,MC3,Mandurah Channel,2008,10,14,26268.4375,5.0000,,38.4132,38.3462,29.4782,29.8236,16.8449,16.6272,7.8470,7.8092,0.0084,0.0077,1.4578,0.3454,0.0000,0.0000,0.0000,16.0306,20.4926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0823,0.0000,0.9982,
VealeMC4SU42009_21m_808,MC3,Mandurah Channel,2009,01,14,26268.4375,5.0000,,22.6048,22.6793,38.3297,38.3375,22.2733,22.2915,6.4047,6.4028,0.0142,0.0142,2.8923,0.0078,0.0000,0.0000,0.0000,22.4170,26.9992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.9855,
VealeMC4AU42009_21m_828,MC3,Mandurah Channel,2009,04,07,26268.4375,5.0000,,18.9898,18.8575,35.6040,35.6274,17.9977,17.6959,6.6632,6.6279,0.0026,0.0025,2.0015,0.0234,0.0000,0.0000,0.0000,18.8165,22.6151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,-0.0000,0.8351,
VealeMC4W42009_21m_848,MC3,Mandurah Channel,2009,07,09,26268.4375,5.0000,,33.1308,33.2059,28.7038,28.7793,12.4686,12.4842,8.6004,8.5951,0.0058,0.0058,0.4644,0.0569,0.0000,0.0000,0.0000,12.6597,15.5243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0252,0.0000,1.0000,
VealeMC4SP42009_21m_868,MC3,Mandurah Channel,2009,10,12,26268.4375,5.0000,,36.5335,35.9151,20.9372,21.2826,17.4432,17.4626,7.9249,7.9090,0.0028,0.0028,0.6326,0.1919,0.0000,0.0000,0.0000,15.2051,21.9126,1.0004,0.0000,0.0000,0.0000,0.0370,0.0493,0.0000,0.9310,
VealeMC4SU42010_21m_888,MC3,Mandurah Channel,2010,01,15,26268.4375,5.0000,,28.0702,28.0953,38.9262,38.9274,24.1552,24.1319,6.3663,6.3657,0.0574,0.0574,4.7538,0.0197,0.0000,0.0000,0.0000,22.6197,28.4880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.9712,
VealeMC4AU42010_21m_908,MC3,Mandurah Channel,2010,04,15,26268.4375,5.0000,,17.4128,17.4580,36.3623,36.3663,19.2601,19.2752,7.2336,7.2340,0.0062,0.0062,2.4903,0.0212,0.0000,0.0000,0.0000,20.9996,24.3777,0.0000,0.3335,0.0000,0.0000,0.0000,0.0010,-0.0000,0.6218,
HallettMC3AU-16_21m_1488,MC3,Mandurah Channel,2016,06,01,26268.4375,5.0000,,32.0844,32.0766,33.5367,33.5431,14.5221,14.5041,6.8018,6.8070,0.0032,0.0032,0.5053,0.0064,0.0000,0.0000,0.0000,16.0521,19.4201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,0.0000,0.9750,
HallettMC3SP-16_21m_1489,MC3,Mandurah Channel,2016,10,31,26268.4375,5.0000,,44.0814,44.0614,30.3858,30.3916,18.1570,18.1532,8.4113,8.4100,0.0137,0.0138,9.6597,0.0058,0.0000,0.0000,0.0000,18.0553,21.9412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0983,0.0000,0.9428,
HallettMC3SU-17_21m_1490,MC3,Mandurah Channel,2017,02,15,26268.4377,5.0000,,33.2485,33.2841,31.2108,31.3049,25.1894,25.1513,6.7473,6.7295,0.1213,0.1205,33.6873,0.0941,0.0000,0.0000,0.0000,26.5669,32.5227,0.0000,3.2507,0.0000,0.0000,0.0000,0.0132,-0.0000,0.7342,
HallettMC3W-16_21m_1491,MC3,Mandurah Channel,2016,07,27,26268.4375,5.0000,,47.6130,47.6157,29.3798,29.3843,12.0913,12.0848,7.8914,7.8939,0.0116,0.0116,0.4434,0.0045,0.0000,0.0000,0.0000,12.1518,14.3212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0527,0.0000,0.9954,
HallettMC3AU17_21m_1610,MC3,Mandurah Channel,2017,04,13,26268.4377,5.0000,,40.9760,41.0417,36.5968,36.6028,21.0657,21.0294,6.8271,6.8250,0.0708,0.0710,31.0190,0.0060,0.0000,0.0000,0.0000,22.4930,26.5906,0.0000,0.0834,0.0000,0.0000,0.0000,0.0305,-0.0000,0.5102,
HallettMC3SP17_21m_1614,MC3,Mandurah Channel,2017,10,19,26268.4377,5.0000,,40.2080,40.2021,23.7243,23.7710,19.0860,19.1080,9.5037,9.4843,0.0250,0.0251,29.9315,0.0467,0.0000,0.0000,0.0000,16.6607,22.1401,0.5001,0.0000,0.0000,0.0000,0.0226,0.1468,-0.0000,0.6852,
HallettMC3SU18_21m_1618,MC3,Mandurah Channel,2018,01,11,26268.4375,5.0000,,25.7659,25.7691,37.2117,37.2112,26.3418,26.3406,7.6355,7.6292,0.0366,0.0367,8.4588,0.0494,0.0000,0.0000,0.0000,24.8833,29.1352,0.0000,0.3335,0.0000,0.0000,0.0000,0.0058,0.0000,0.8366,
HallettMC3W17_21m_1622,MC3,Mandurah Channel,2017,06,26,26268.4377,5.0000,,48.5555,48.3733,34.5616,34.5684,13.8722,13.7931,6.6510,6.6382,0.0462,0.0464,4.4454,0.0068,0.0000,0.0000,0.0000,14.0469,17.2132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0000,0.8286,
YoungMC3SU-96_102.5m_4,MC4,Mandurah Channel,1996,01,17,17599.1758,4.0000,,27.9739,31.9312,39.1071,39.5662,20.5079,20.1486,6.8331,6.8647,0.0125,0.0123,0.7173,0.4591,0.0000,0.0000,0.0000,22.3681,28.5255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,1.0000,
YoungMC3AU-96_102.5m_19,MC4,Mandurah Channel,1996,04,22,17599.1758,4.0000,,40.5821,42.3449,39.9221,40.1411,17.0632,16.7417,7.1696,7.1325,0.0198,0.0191,1.9543,0.2190,0.0000,0.0000,0.0000,18.9526,22.3311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.9819,
YoungMC3W-96_102.5m_34,MC4,Mandurah Channel,1996,07,25,17599.1758,4.0000,,25.8539,26.5723,18.3034,18.7831,11.4834,11.4680,9.5854,9.5560,0.0929,0.0923,1.5086,0.4797,0.0000,0.0000,0.0000,12.0332,15.2475,1.0846,0.0000,0.0000,0.0000,0.0073,0.1494,0.0000,0.8517,
YoungMC3SP-96_102.5m_49,MC4,Mandurah Channel,1996,10,15,17599.1758,4.0000,,27.8662,26.1699,13.1254,15.4591,18.1692,18.1114,8.4461,8.3568,0.0575,0.0531,2.3499,2.3337,15.0606,0.0000,0.0000,16.1532,21.2237,3.0870,0.0000,0.0000,0.0000,0.1221,0.0912,0.0000,0.8129,
YoungMC3SU-97_102.5m_64,MC4,Mandurah Channel,1997,01,13,17599.1758,4.0000,,30.0677,30.0317,38.6040,38.6026,24.7952,24.7972,6.4239,6.4188,0.0100,0.0101,2.5559,-0.0015,0.0000,0.0000,0.0000,22.0826,27.4809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0000,0.9987,
YoungMC3AU-97_102.5m_79,MC4,Mandurah Channel,1997,04,08,17599.1758,4.0000,,21.2532,20.7995,35.7394,35.7846,19.6600,19.4433,7.0916,7.0626,0.0034,0.0031,0.4785,0.0452,0.0000,0.0000,0.0000,20.0654,24.3725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0386,0.0000,0.9692,
YoungMC3W-97_102.5m_94,MC4,Mandurah Channel,1997,07,30,17599.1758,4.0000,,40.5845,41.6461,24.9333,25.3936,13.5913,13.4495,8.6248,8.5822,0.0141,0.0134,1.3044,0.4603,0.0000,0.0000,0.0000,11.9289,14.6211,0.0000,0.0000,0.0000,0.0000,0.0000,0.1278,0.0000,0.9372,
YoungMC3SP-97_102.5m_109,MC4,Mandurah Channel,1997,10,13,17599.1758,4.0000,,32.8215,32.8053,24.6212,24.7903,18.4587,18.3100,7.9060,7.9111,0.0083,0.0077,1.7120,0.1691,0.0000,0.0000,0.0000,17.6660,21.8671,1.0846,0.0000,0.0000,0.0000,0.0452,0.1255,0.0000,0.9034,
VealeMC3SU-9_102.5m_124,MC4,Mandurah Channel,2009,01,14,17599.1758,4.0000,,26.4999,31.9963,38.7405,39.1554,22.3154,22.3462,6.3950,6.3716,0.0143,0.0151,6.4084,0.4149,0.0000,0.0000,0.0000,22.6216,26.9665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.9756,
VealeMC3AU-9_102.5m_144,MC4,Mandurah Channel,2009,04,07,17599.1758,4.0000,,19.6397,18.9818,35.4638,35.5873,18.2756,17.6707,6.7849,6.5706,0.0026,0.0027,1.9520,0.1235,0.0000,0.0000,0.0000,18.8932,22.4683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,-0.0000,0.8275,
VealeMC3W-8_102.5m_164,MC4,Mandurah Channel,2008,07,11,17599.1758,4.0000,,41.2362,40.9708,31.8810,31.9466,12.6861,12.6385,8.5416,8.5158,0.0168,0.0166,2.7852,0.0655,0.0000,0.0000,0.0000,12.5838,14.5063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0707,0.0000,0.9693,
VealeMC3SP-8_102.5m_179,MC4,Mandurah Channel,2008,10,13,17599.1758,4.0000,,37.2983,37.2807,30.2082,30.2426,16.8752,16.8745,7.8191,7.8188,0.0055,0.0052,1.2027,0.0344,0.0000,0.0000,0.0000,16.0139,20.4449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0960,0.0000,0.9975,
VealeMC3SU-10_102.5m_199,MC4,Mandurah Channel,2010,01,15,17599.1758,4.0000,,31.3118,33.2126,39.3066,39.4336,24.2813,23.9147,6.7214,6.6518,0.0494,0.0460,4.9484,0.0827,0.0000,0.0000,0.0000,22.7603,28.3773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.9680,
VealeMC3AU-10_102.5m_219,MC4,Mandurah Channel,2010,04,15,17599.1758,4.0000,,18.7226,19.5271,36.4392,36.5142,19.1266,19.0657,7.2518,7.2745,0.0071,0.0067,6.2045,0.0567,0.0000,0.0000,0.0000,20.9365,24.7122,0.0000,1.0005,0.0000,0.0000,0.0000,0.0007,-0.0000,0.5771,
VealeMC3W-9_102.5m_239,MC4,Mandurah Channel,2009,07,09,17599.1758,4.0000,,33.9694,36.4334,28.4781,29.2299,12.4222,12.3285,8.6349,8.6252,0.0060,0.0054,0.4703,0.3951,0.0000,0.0000,0.0000,12.5557,15.3567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0309,0.0000,1.0000,
